iter	RMSE
497	5.226876679
498	5.225914121
499	5.224887064
500	5.224273118
501	5.223874657
502	5.222956277
503	5.222022031
504	5.221287437
505	5.219167552
506	5.217870326
507	5.217152379
508	5.21680945
509	5.216249319
510	5.21583041
511	5.215260213
512	5.214458871
513	5.213687855
514	5.212467617
515	5.211882022
516	5.211269919
517	5.210397066
518	5.209631966
519	5.208768388
520	5.208118395
521	5.206777891
522	5.20599133
523	5.205070608
524	5.203752401
525	5.202400615
526	5.201112609
527	5.200265093
528	5.199870143
529	5.198289594
530	5.197546738
531	5.19715804
532	5.196344198
533	5.19578051
534	5.194743852
535	5.193822907
536	5.192809761
537	5.192222785
538	5.191657708
539	5.190415367
540	5.189489928
541	5.188443568
542	5.18765953
543	5.186733871
544	5.185454989
545	5.184562276
546	5.183765759
547	5.183024774
548	5.182437581
549	5.181152128
550	5.180414387
551	5.179637914
552	5.179088813
553	5.178635687
554	5.17768419
555	5.177081363
556	5.17600032
557	5.175291494
558	5.174243536
559	5.173693953
560	5.172473973
561	5.17188516
562	5.170321996
563	5.169782316
564	5.168988136
565	5.168435122
566	5.167854473
567	5.167178716
568	5.166173539
569	5.16565085
570	5.165094542
571	5.164162643
572	5.16386113
573	5.162958979
574	5.161623593
575	5.160591756
576	5.160066821
577	5.159171723
578	5.158578811
579	5.157912544
580	5.15692095
581	5.1561355
582	5.155185024
583	5.154305558
584	5.153413928
585	5.153029038
586	5.15244917
587	5.151717557
588	5.150575469
589	5.150035048
590	5.149076834
591	5.148369461
592	5.147776436
593	5.147426076
594	5.145781362
595	5.145179311
596	5.144682808
597	5.143149366
598	5.142476066
599	5.142069413
600	5.141665011
601	5.14090745
602	5.140470035
603	5.13990394
604	5.138697577
605	5.137975948
606	5.137201209
607	5.135647212
608	5.135067669
609	5.13345783
610	5.132762608
611	5.132009583
612	5.131730889
613	5.131117558
614	5.130357703
615	5.129448405
616	5.128795003
617	5.128422599
618	5.12784408
619	5.12686063
620	5.126105128
621	5.125670751
622	5.125317084
623	5.124386133
624	5.123410003
625	5.122039921
626	5.121386092
627	5.120301443
628	5.119603929
629	5.118690254
630	5.117468741
631	5.116897423
632	5.116107777
633	5.115698197
634	5.115127471
635	5.114163588
636	5.113896459
637	5.113355802
638	5.113041993
639	5.112002622
640	5.111243459
641	5.11067762
642	5.109956132
643	5.108943698
644	5.108316465
645	5.108079676
646	5.107745215
647	5.106969127
648	5.106423096
649	5.106035058
650	5.105551305
651	5.104503637
652	5.103879558
653	5.10329752
654	5.102912973
655	5.102645182
656	5.101331388
657	5.100828911
658	5.099960622
659	5.098781106
660	5.098298497
661	5.097612262
662	5.096922989
663	5.0962151
664	5.095800529
665	5.094760686
666	5.094420129
667	5.093810297
668	5.093247926
669	5.091841844
670	5.091532229
671	5.090476012
672	5.090022159
673	5.089359098
674	5.08888735
675	5.088119999
676	5.087381103
677	5.086854217
678	5.08603591
679	5.085625501
680	5.085210777
681	5.084856963
682	5.084148001
683	5.083865921
684	5.083365316
685	5.08288251
686	5.082104551
687	5.081142533
688	5.080433402
689	5.079531085
690	5.079064682
691	5.078525495
692	5.077853849
693	5.077224532
694	5.076686849
695	5.076237955
696	5.075522586
697	5.075198247
698	5.074614833
699	5.074055066
700	5.073266759
701	5.072974023
702	5.072459684
703	5.072161467
704	5.07135435
705	5.070838671
706	5.0698814
707	5.069159256
708	5.068249114
709	5.067877084
710	5.066892986
711	5.066563693
712	5.066296008
713	5.065791024
714	5.06556671
715	5.065413832
716	5.064748582
717	5.064265783
718	5.06387886
719	5.063142038
720	5.0623881
721	5.061910774
722	5.061520806
723	5.061028738
724	5.059891218
725	5.059555077
726	5.059091199
727	5.058267185
728	5.057953718
729	5.057236264
730	5.056653115
731	5.056251312
732	5.055979277
733	5.055537054
734	5.05521153
735	5.054725861
736	5.054042109
737	5.053829556
738	5.053310734
739	5.052907661
740	5.05254332
741	5.051924229
742	5.051516812
743	5.051137974
744	5.050456758
745	5.050111017
746	5.049772752
747	5.049316971
748	5.048813198
749	5.048658151
750	5.048389999
751	5.047770004
752	5.047399232
753	5.046936223
754	5.046451223
755	5.045791426
756	5.045584431
757	5.045183653
758	5.044814401
759	5.044173707
760	5.043820606
761	5.043008374
762	5.042656335
763	5.042444953
764	5.041955591
765	5.041732201
766	5.040513863
767	5.039586125
768	5.0388653
769	5.038389778
770	5.038031543
771	5.037722639
772	5.037387709
773	5.036810519
774	5.036209528
775	5.035978986
776	5.035320244
777	5.034815231
778	5.034328499
779	5.033984966
780	5.033709913
781	5.033225574
782	5.032796737
783	5.032514896
784	5.031923502
785	5.031396735
786	5.030894031
787	5.030246329
788	5.029753006
789	5.029326966
790	5.028789838
791	5.028434237
792	5.027929748
793	5.027144394
794	5.026884589
795	5.026451886
796	5.025853638
797	5.025535476
798	5.02515785
799	5.024607581
800	5.02447141
801	5.024161933
802	5.023885835
803	5.02360111
804	5.023202495
805	5.022617555
806	5.021670312
807	5.021240853
808	5.020820549
809	5.019426384
810	5.018827443
811	5.018539594
812	5.017947092
813	5.016909228
814	5.016459366
815	5.016180357
816	5.015705811
817	5.015276045
818	5.015109261
819	5.014571697
820	5.014036043
821	5.013617531
822	5.012563687
823	5.012017617
824	5.010877125
825	5.010446544
826	5.010070564
827	5.009532022
828	5.009138832
829	5.00852328
830	5.007687746
831	5.00679016
832	5.00643809
833	5.006002966
834	5.005493426
835	5.004812281
836	5.004288387
837	5.003721851
838	5.003407428
839	5.003009298
840	5.002680032
841	5.001921654
842	5.001002308
843	5.000464889
844	5.000232653
845	4.999745697
846	4.999346589
847	4.999019104
848	4.998213427
849	4.997414381
850	4.996738692
851	4.996517817
852	4.996207682
853	4.995785926
854	4.995427248
855	4.995101959
856	4.994569063
857	4.994217575
858	4.993963171
859	4.993606041
860	4.993159979
861	4.992862558
862	4.992406284
863	4.991949831
864	4.991587019
865	4.991190331
866	4.990928065
867	4.990517508
868	4.989957684
869	4.989498739
870	4.989170569
871	4.988813559
872	4.988181892
873	4.987627773
874	4.987124733
875	4.986942498
876	4.986380382
877	4.985970943
878	4.985718963
879	4.985271307
880	4.985026646
881	4.984436773
882	4.984087492
883	4.983429133
884	4.982952853
885	4.982476648
886	4.98182524
887	4.981339356
888	4.980880175
889	4.9806065
890	4.980135988
891	4.97986365
892	4.979313948
893	4.978880682
894	4.978497472
895	4.97719082
896	4.976894916
897	4.975898735
898	4.975185667
899	4.97459096
900	4.974390793
901	4.973985962
902	4.973584088
903	4.97315091
904	4.972539292
905	4.972187546
906	4.971981938
907	4.971339424
908	4.970470462
909	4.970183974
910	4.969924616
911	4.969626366
912	4.969093327
913	4.968707389
914	4.967932504
915	4.967479708
916	4.967131204
917	4.966609246
918	4.966366498
919	4.966058161
920	4.965613493
921	4.965155782
922	4.964614661
923	4.964216357
924	4.964031539
925	4.963586861
926	4.963383297
927	4.96305825
928	4.962769332
929	4.962532402
930	4.962353133
931	4.962064409
932	4.961673591
933	4.961419971
934	4.960151978
935	4.959785763
936	4.959342518
937	4.959016022
938	4.958748366
939	4.958454388
940	4.958035362
941	4.957810611
942	4.957335473
943	4.956925986
944	4.956739923
945	4.956455096
946	4.956088164
947	4.955498833
948	4.955205457
949	4.95456424
950	4.954198992
951	4.953824901
952	4.953471303
953	4.953100599
954	4.95249031
955	4.952160258
956	4.951544251
957	4.950677798
958	4.950183333
959	4.949738926
960	4.949491491
961	4.948915154
962	4.948316799
963	4.947876851
964	4.94744288
965	4.947203065
966	4.946652367
967	4.946371703
968	4.946218104
969	4.945670884
970	4.945478847
971	4.944779269
972	4.943930618
973	4.943455625
974	4.943285683
975	4.942816183
976	4.942324023
977	4.941999561
978	4.941434718
979	4.941001029
980	4.940631962
981	4.940413994
982	4.93994847
983	4.939529753
984	4.939197976
985	4.938725524
986	4.938477286
987	4.93813128
988	4.937851487
989	4.936802696
990	4.936332184
991	4.936077378
992	4.935332709
993	4.935137295
994	4.934540202
995	4.93434188
996	4.934022532
997	4.933687019
998	4.933170283
999	4.932862461
