iter	Passed	Remaining
407	5454	7914
408	5467	7900
409	5479	7885
410	5492	7871
411	5505	7856
412	5517	7841
413	5529	7826
414	5542	7812
415	5555	7798
416	5567	7783
417	5578	7767
418	5591	7753
419	5604	7739
420	5616	7724
421	5627	7708
422	5639	7692
423	5652	7678
424	5664	7663
425	5675	7647
426	5687	7632
427	5700	7618
428	5712	7603
429	5725	7589
430	5737	7574
431	5749	7559
432	5765	7549
433	5779	7537
434	5793	7525
435	5807	7512
436	5821	7499
437	5835	7488
438	5849	7475
439	5863	7462
440	5877	7449
441	5890	7436
442	5904	7423
443	5917	7410
444	5931	7397
445	5945	7385
446	5960	7374
447	5973	7360
448	5988	7349
449	6003	7337
450	6017	7324
451	6032	7314
452	6048	7303
453	6066	7295
454	6081	7283
455	6097	7273
456	6112	7263
457	6127	7251
458	6144	7242
459	6160	7231
460	6175	7220
461	6188	7206
462	6202	7193
463	6216	7181
464	6231	7169
465	6247	7159
466	6260	7145
467	6275	7133
468	6289	7120
469	6302	7107
470	6316	7094
471	6330	7081
472	6344	7068
473	6357	7055
474	6371	7042
475	6385	7029
476	6399	7016
477	6411	7001
478	6424	6987
479	6436	6972
480	6449	6959
481	6463	6945
482	6476	6932
483	6490	6919
484	6504	6907
485	6519	6894
486	6533	6882
487	6546	6868
488	6560	6856
489	6574	6843
490	6589	6831
491	6605	6820
492	6619	6807
493	6635	6796
494	6649	6783
495	6663	6770
496	6676	6757
497	6691	6745
498	6706	6732
499	6720	6720
500	6733	6706
501	6748	6694
502	6763	6682
503	6777	6670
504	6792	6658
505	6807	6645
506	6821	6633
507	6837	6621
508	6850	6608
509	6865	6596
510	6879	6583
511	6894	6570
512	6907	6557
513	6920	6543
514	6935	6531
515	6948	6517
516	6963	6505
517	6976	6491
518	6989	6477
519	7002	6463
520	7016	6450
521	7028	6435
522	7041	6421
523	7057	6410
524	7071	6398
525	7101	6399
526	7115	6386
527	7131	6374
528	7146	6362
529	7159	6348
530	7173	6335
531	7185	6321
532	7200	6308
533	7213	6294
534	7226	6281
535	7240	6268
536	7254	6255
537	7268	6242
538	7284	6229
539	7298	6217
540	7310	6202
541	7325	6190
542	7340	6177
543	7354	6164
544	7367	6151
545	7381	6137
546	7394	6123
547	7408	6110
548	7421	6096
549	7435	6083
550	7449	6070
551	7461	6055
552	7475	6042
553	7489	6029
554	7501	6014
555	7515	6001
556	7529	5988
557	7541	5973
558	7554	5959
559	7567	5945
560	7579	5931
561	7592	5917
562	7604	5902
563	7617	5888
564	7631	5875
565	7643	5861
566	7657	5847
567	7670	5833
568	7683	5819
569	7696	5805
570	7709	5792
571	7722	5778
572	7735	5764
573	7748	5750
574	7760	5736
575	7776	5724
576	7790	5710
577	7803	5697
578	7815	5682
579	7829	5669
580	7841	5654
581	7854	5641
582	7866	5626
583	7879	5612
584	7891	5598
585	7905	5584
586	7917	5570
587	7929	5556
588	7943	5542
589	7955	5528
590	7966	5513
591	7977	5498
592	7989	5483
593	8001	5468
594	8012	5454
595	8024	5439
596	8036	5424
597	8048	5410
598	8059	5395
599	8072	5381
600	8084	5367
601	8097	5353
602	8109	5339
603	8121	5324
604	8133	5310
605	8145	5295
606	8156	5280
607	8168	5266
608	8180	5252
609	8191	5237
610	8203	5222
611	8215	5208
612	8227	5194
613	8240	5180
614	8252	5166
615	8263	5151
616	8276	5137
617	8288	5123
618	8301	5109
619	8318	5098
620	8331	5084
621	8343	5070
622	8356	5056
623	8367	5042
624	8380	5028
625	8393	5014
626	8405	5000
627	8417	4986
628	8429	4972
629	8441	4957
630	8454	4944
631	8467	4930
632	8479	4915
633	8491	4901
634	8502	4887
635	8515	4873
636	8527	4859
637	8539	4845
638	8551	4831
639	8563	4817
640	8575	4802
641	8588	4789
642	8600	4774
643	8612	4761
644	8624	4747
645	8637	4733
646	8649	4719
647	8662	4705
648	8674	4691
649	8686	4677
650	8699	4663
651	8714	4651
652	8727	4637
653	8739	4623
654	8752	4610
655	8764	4596
656	8776	4582
657	8788	4568
658	8801	4554
659	8814	4540
660	8826	4526
661	8839	4513
662	8852	4499
663	8865	4486
664	8878	4472
665	8892	4459
666	8905	4446
667	8917	4432
668	8930	4418
669	8943	4404
670	8956	4391
671	8968	4377
672	8981	4363
673	8994	4350
674	9008	4337
675	9020	4323
676	9033	4309
677	9046	4296
678	9058	4282
679	9070	4268
680	9082	4254
681	9095	4241
682	9108	4227
683	9120	4213
684	9132	4199
685	9144	4185
686	9156	4171
687	9168	4157
688	9180	4143
689	9192	4129
690	9204	4116
691	9216	4102
692	9228	4088
693	9241	4074
694	9254	4061
695	9267	4047
696	9279	4034
697	9291	4020
698	9304	4006
699	9316	3992
700	9328	3978
701	9340	3965
702	9352	3951
703	9364	3937
704	9376	3923
705	9389	3909
706	9402	3896
707	9417	3884
708	9431	3871
709	9445	3857
710	9459	3844
711	9473	3831
712	9486	3818
713	9499	3804
714	9513	3792
715	9527	3778
716	9541	3765
717	9555	3752
718	9569	3739
719	9582	3726
720	9595	3713
721	9608	3699
722	9621	3686
723	9634	3672
724	9648	3659
725	9663	3646
726	9676	3633
727	9688	3620
728	9702	3606
729	9716	3593
730	9729	3580
731	9744	3567
732	9757	3554
733	9770	3540
734	9783	3527
735	9798	3514
736	9809	3500
737	9823	3487
738	9836	3473
739	9849	3460
740	9864	3447
741	9878	3434
742	9892	3421
743	9905	3408
744	9919	3395
745	9932	3381
746	9945	3368
747	9958	3355
748	9972	3341
749	9985	3328
750	9998	3315
751	10012	3301
752	10025	3288
753	10038	3275
754	10051	3261
755	10064	3248
756	10077	3234
757	10090	3221
758	10104	3208
759	10117	3194
760	10130	3181
761	10142	3167
762	10156	3154
763	10170	3141
764	10183	3128
765	10196	3114
766	10209	3101
767	10223	3088
768	10236	3075
769	10253	3062
770	10267	3049
771	10279	3035
772	10292	3022
773	10305	3009
774	10319	2995
775	10332	2982
776	10345	2969
777	10358	2955
778	10371	2942
779	10384	2929
780	10398	2915
781	10412	2902
782	10425	2889
783	10440	2876
784	10453	2863
785	10467	2849
786	10480	2836
787	10492	2822
788	10505	2809
789	10519	2796
790	10532	2782
791	10545	2769
792	10558	2756
793	10571	2742
794	10586	2729
795	10599	2716
796	10612	2703
797	10626	2690
798	10641	2676
799	10654	2663
800	10668	2650
801	10680	2636
802	10692	2623
803	10708	2610
804	10722	2597
805	10736	2584
806	10754	2571
807	10769	2559
808	10785	2546
809	10803	2534
810	10820	2521
811	10835	2508
812	10850	2495
813	10864	2482
814	10879	2469
815	10894	2456
816	10909	2443
817	10923	2430
818	10935	2416
819	10948	2403
820	10962	2390
821	10975	2376
822	10988	2363
823	11002	2350
824	11015	2336
825	11030	2323
826	11043	2310
827	11057	2296
828	11071	2283
829	11084	2270
830	11098	2257
831	11111	2243
832	11124	2230
833	11138	2216
834	11151	2203
835	11164	2190
836	11179	2177
837	11193	2163
838	11207	2150
839	11220	2137
840	11233	2123
841	11246	2110
842	11259	2096
843	11272	2083
844	11286	2070
845	11298	2056
846	11310	2043
847	11325	2030
848	11337	2016
849	11350	2003
850	11363	1989
851	11379	1976
852	11392	1963
853	11405	1949
854	11417	1936
855	11429	1922
856	11442	1909
857	11454	1895
858	11467	1882
859	11478	1868
860	11491	1855
861	11503	1841
862	11515	1828
863	11529	1814
864	11541	1801
865	11554	1787
866	11565	1774
867	11578	1760
868	11591	1747
869	11603	1733
870	11616	1720
871	11630	1707
872	11643	1693
873	11656	1680
874	11669	1667
875	11683	1653
876	11694	1640
877	11706	1626
878	11718	1613
879	11731	1599
880	11743	1586
881	11755	1572
882	11768	1559
883	11781	1545
884	11794	1532
885	11806	1519
886	11818	1505
887	11830	1492
888	11842	1478
889	11855	1465
890	11868	1451
891	11881	1438
892	11894	1425
893	11906	1411
894	11917	1398
895	11930	1384
896	11942	1371
897	11954	1357
898	11968	1344
899	11980	1331
900	11992	1317
901	12003	1304
902	12015	1290
903	12027	1277
904	12039	1263
905	12051	1250
906	12064	1237
907	12076	1223
908	12088	1210
909	12101	1196
910	12113	1183
911	12126	1170
912	12139	1156
913	12152	1143
914	12164	1130
915	12176	1116
916	12189	1103
917	12202	1090
918	12215	1076
919	12227	1063
920	12240	1049
921	12252	1036
922	12264	1023
923	12277	1009
924	12289	996
925	12303	983
926	12316	969
927	12329	956
928	12342	943
929	12355	929
930	12368	916
931	12381	903
932	12393	889
933	12405	876
934	12418	863
935	12430	849
936	12444	836
937	12457	823
938	12471	810
939	12484	796
940	12497	783
941	12510	770
942	12523	757
943	12536	743
944	12550	730
945	12563	717
946	12576	703
947	12588	690
948	12602	677
949	12614	663
950	12626	650
951	12639	637
952	12651	623
953	12664	610
954	12676	597
955	12687	583
956	12699	570
957	12711	557
958	12722	543
959	12734	530
960	12745	517
961	12757	503
962	12770	490
963	12782	477
964	12794	464
965	12806	450
966	12819	437
967	12831	424
968	12843	410
969	12855	397
970	12867	384
971	12879	371
972	12890	357
973	12903	344
974	12915	331
975	12933	318
976	12945	304
977	12957	291
978	12969	278
979	12982	264
980	12993	251
981	13005	238
982	13017	225
983	13028	211
984	13041	198
985	13053	185
986	13065	172
987	13078	158
988	13090	145
989	13104	132
990	13116	119
991	13128	105
992	13140	92
993	13152	79
994	13166	66
995	13180	52
996	13193	39
997	13206	26
998	13220	13
999	13234	0
