iter	Logloss
0	0.648728874
1	0.6088625166
2	0.5731369275
3	0.5403480208
4	0.5109645209
5	0.4837033884
6	0.4591269001
7	0.4378799129
8	0.4180255935
9	0.3993296233
10	0.3839806657
11	0.3689758772
12	0.3548440009
13	0.3424174236
14	0.329698898
15	0.3192399344
16	0.3104610532
17	0.3021819317
18	0.294716516
19	0.2875015003
20	0.2807464024
21	0.2748183465
22	0.269210022
23	0.2644394558
24	0.2599451307
25	0.2555575789
26	0.251565333
27	0.248313693
28	0.2451210688
29	0.2419962551
30	0.238639116
31	0.236086219
32	0.2336855896
33	0.231493121
34	0.2294181547
35	0.2276073259
36	0.2255871091
37	0.2239467572
38	0.2224543881
39	0.2209358631
40	0.2193756693
41	0.2179907538
42	0.2167227749
43	0.215591178
44	0.2145200438
45	0.2134212978
46	0.2122861384
47	0.2112830473
48	0.2103035861
49	0.2093889507
50	0.2085803889
51	0.2075635758
52	0.2067554587
53	0.2058436563
54	0.2051455619
55	0.204526043
56	0.2037950976
57	0.2032018178
58	0.2025094917
59	0.2017068263
60	0.2011628047
61	0.2006033689
62	0.2000985233
63	0.1995916702
64	0.1990624631
65	0.1985741804
66	0.1980245157
67	0.1975215541
68	0.1969430943
69	0.1963876413
70	0.1959086547
71	0.1954690927
72	0.1950639973
73	0.1946523302
74	0.1941335571
75	0.1937908177
76	0.1933141214
77	0.1929210045
78	0.1925615037
79	0.1921653844
80	0.1918501573
81	0.191396263
82	0.1910260573
83	0.1905640738
84	0.1899237336
85	0.1895601186
86	0.189239106
87	0.1889027135
88	0.1885699755
89	0.1882671942
90	0.1879514299
91	0.1876280035
92	0.1873308957
93	0.1869777671
94	0.1866783705
95	0.1862145938
96	0.1858954434
97	0.1855979249
98	0.1852899047
99	0.1850318954
100	0.1847548946
101	0.1842704091
102	0.183948677
103	0.1836556461
104	0.1833844821
105	0.1830855903
106	0.1827144112
107	0.1824619119
108	0.1821743029
109	0.1819629492
110	0.1814054905
111	0.1811643021
112	0.1809394285
113	0.1807121718
114	0.1804973358
115	0.1802648658
116	0.1799692223
117	0.1797581455
118	0.1795279865
119	0.1793097139
120	0.1791088092
121	0.1789172158
122	0.1786592851
123	0.1784296273
124	0.1781705783
125	0.1778001493
126	0.1775400171
127	0.1771755936
128	0.1769463918
129	0.1767602979
130	0.1765408842
131	0.1763536118
132	0.1761281946
133	0.1759308053
134	0.1757083043
135	0.1755193107
136	0.1752268057
137	0.1750470991
138	0.1748151403
139	0.1746121769
140	0.1744425286
141	0.1742671104
142	0.1740737206
143	0.1738887789
144	0.1736952926
145	0.1735219483
146	0.173275033
147	0.1730537144
148	0.1728864655
149	0.1726912139
150	0.1724871325
151	0.172341123
152	0.1721499484
153	0.1719884372
154	0.1717393327
155	0.1715466586
156	0.1711452458
157	0.170940247
158	0.1707770293
159	0.1706135085
160	0.1704608959
161	0.1702830201
162	0.1701369388
163	0.1699721324
164	0.1697726591
165	0.1695864454
166	0.1694212386
167	0.1692952642
168	0.1691349794
169	0.1690138759
170	0.1688887601
171	0.1687572951
172	0.1685774323
173	0.1684071997
174	0.1682490725
175	0.1681130464
176	0.1679434149
177	0.1677671203
178	0.1676169502
179	0.1673512382
180	0.1672106126
181	0.1670476484
182	0.1669096449
183	0.1667817453
184	0.1666433455
185	0.1664080964
186	0.1661998868
187	0.1660675535
188	0.1657083071
189	0.1655500703
190	0.1654202064
191	0.1651418396
192	0.1649819009
193	0.1648454421
194	0.1646811757
195	0.1644705724
196	0.1643344689
197	0.1641764589
198	0.1640375161
199	0.1637715617
200	0.1636287502
201	0.1634562082
202	0.1633107896
203	0.16317431
204	0.1630296376
205	0.162883111
206	0.1627281887
207	0.162589383
208	0.1624736129
209	0.1623289748
210	0.1621898952
211	0.1620727106
212	0.1619539581
213	0.1618282704
214	0.1616910909
215	0.1615771411
216	0.1614430412
217	0.1613233638
218	0.1611928957
219	0.1610513972
220	0.1609072681
221	0.1607400328
222	0.1606222791
223	0.1604908123
224	0.1603528925
225	0.1602509421
226	0.1601165373
227	0.159989162
228	0.1598771606
229	0.1597317856
230	0.1596049837
231	0.1594996874
232	0.1593847795
233	0.1592578008
234	0.1591555969
235	0.1590298537
236	0.1588881015
237	0.1586775934
238	0.1585411192
239	0.1584035842
240	0.1582978261
241	0.1580971963
242	0.1579728531
243	0.1578533466
244	0.1577305582
245	0.1576250759
246	0.1574901286
247	0.1573428732
248	0.1572352874
249	0.1571104095
250	0.1569801918
251	0.1568698172
252	0.1567562392
253	0.1566253077
254	0.1564896558
255	0.156384145
256	0.1562360965
257	0.1561376539
258	0.1560265555
259	0.1559013967
260	0.15579684
261	0.1556871151
262	0.1555707453
263	0.15535898
264	0.1552402027
265	0.1550772829
266	0.1548732471
267	0.1547427946
268	0.1546242731
269	0.154461682
270	0.1543556231
271	0.1542405705
272	0.1541294991
273	0.1540090615
274	0.1538339139
275	0.1534656296
276	0.1533014495
277	0.1531967157
278	0.1530868507
279	0.1529887159
280	0.1528715164
